COLORS,PRODUCTS,REGIONS,time,unit_retail,unit_cost,units_sold,units_returned,income_$,return_$
Red,Tape Dispensers,Northern,1,5.89,5.03,7334,2059,43197.26,12127.51
Red,Tape Dispensers,Northern,2,5.89,5.03,1648,140,9706.72,824.6
Red,Tape Dispensers,Northern,3,5.89,5.03,8985,2530,52921.65,14901.7
Red,Tape Dispensers,Northern,4,5.89,5.03,9027,8925,53169.03,52568.25
Red,Tape Dispensers,Northern,5,5.89,5.03,9049,6919,53298.61,40752.91
Red,Tape Dispensers,Northern,6,5.89,5.03,4658,413,27435.62,2432.57
Red,Tape Dispensers,Northern,7,5.89,5.03,3072,734,18094.08,4323.26
Red,Tape Dispensers,Northern,8,5.89,5.03,3046,3015,17940.94,17758.35
Red,Tape Dispensers,Northern,9,5.89,5.03,9061,4336,53369.29,25539.04
Red,Tape Dispensers,Northern,10,5.89,5.03,8005,2066,47149.45,12168.74
Red,Tape Dispensers,Northern,11,5.89,5.03,9527,6314,56114.03,37189.46
Red,Tape Dispensers,Northern,12,5.89,5.03,5109,2801,30092.01,16497.89
Blue,Tape Dispensers,Northern,1,7.68,7.58,9146,9131,70241.28,70126.08
Blue,Tape Dispensers,Northern,2,7.68,7.58,622,404,4776.96,3102.72
Blue,Tape Dispensers,Northern,3,7.68,7.58,5074,4278,38968.32,32855.04
Blue,Tape Dispensers,Northern,4,7.68,7.58,6335,873,48652.8,6704.64
Blue,Tape Dispensers,Northern,5,7.68,7.58,8463,6165,64995.84,47347.2
Blue,Tape Dispensers,Northern,6,7.68,7.58,9740,5815,74803.2,44659.2
Blue,Tape Dispensers,Northern,7,7.68,7.58,2615,879,20083.2,6750.72
Blue,Tape Dispensers,Northern,8,7.68,7.58,3588,3407,27555.84,26165.76
Blue,Tape Dispensers,Northern,9,7.68,7.58,7222,1533,55464.96,11773.44
Blue,Tape Dispensers,Northern,10,7.68,7.58,7851,5292,60295.68,40642.56
Blue,Tape Dispensers,Northern,11,7.68,7.58,6951,6357,53383.68,48821.76
